,出发地,目的地,价格,节省,路线名,酒店,房间,去程航司,去程方式,去程时间,回程航司,回程方式,回程时间,酒店评分,酒店等级,天数
2532,重庆,哈尔滨,2078,540,重庆-哈尔滨3天2晚 | 入住哈尔滨龙门财富商务酒店 + 南方航空往返机票,哈尔滨龙门财富商务酒店 高档型 4.2分/5分,龙门行政双人间(内宾)... 双床 不含早 1间2晚,南方航空 CZ8143,经停,11:50-17:20,南方航空 CZ8144,经停,18:15-00:15,4.2,高档型,3
2533,沈阳,九寨沟,2054,476,沈阳-九寨沟3天2晚 | 入住汶川福临国际大酒店 + 西藏航空/成都航空往返机票,汶川福临国际大酒店 舒适型 4.4分/5分,豪华标间(双床)(特惠... 双床 双早 1间2晚,西藏航空 TV9880,直飞,21:10-00:55,成都航空 EU2765,经停,13:35-19:10,4.4,舒适型,3
2534,上海,哈尔滨,1310,364,上海-哈尔滨3天2晚 | 入住哈尔滨远达商务酒店火车站店 + 春秋航空/吉祥航空...,哈尔滨远达商务酒店火车站店 3.8分/5分,舒适标准间(内宾)(双... 双床 双早 1间2晚,春秋航空 9C8869,直飞,15:30-18:35,吉祥航空 HO1268,直飞,22:15-01:15,3.8,无,3
2535,杭州,呼和浩特,1572,436,杭州-呼和浩特3天2晚 | 入住呼和浩特嘉隆曼福特酒店 + 长龙航空/首都航空往...,呼和浩特嘉隆曼福特酒店 舒适型 4.5分/5分,商务双人房(双床) 双床 双早 1间2晚,长龙航空 GJ8673,经停,06:40-11:05,首都航空 JD5644,直飞,22:30-00:55,4.5,舒适型,3
2536,北京,青岛,901,336,北京-青岛3天2晚 | 入住青岛新城国际假日酒店 + 青岛航/首都航空往返机票,青岛新城国际假日酒店 舒适型 4.9分/5分,特惠标准间(双床) 双床 不含早 1间2晚,青岛航 QW9782,直飞,23:00-00:30,首都航空 JD5568,直飞,22:15-23:45,4.9,舒适型,3
2537,深圳,神农架,1623,462,深圳-神农架3天2晚 | 入住神农架花园大酒店 + 南方航空/东方航空往返机票,神农架花园大酒店 舒适型 3.8分/5分,豪华标间(双床) 双床 不含早 1间2晚,南方航空 CZ3663,直飞,09:30-11:25,东方航空 MU2477,直飞,08:00-09:45,3.8,舒适型,3
2538,上海,北京,1191,330,上海-北京3天2晚 | 入住北京红螺湖鸟岛度假村 + 吉祥航空/厦门航空往返机票,北京红螺湖鸟岛度假村 舒适型 2.8分/5分,准三星平房(内宾)(含... 双床 不含早 1间2晚,吉祥航空 HO1251,直飞,22:00-00:20,厦门航空 MF8178,直飞,08:35-10:55,2.8,舒适型,3
2539,广州,沈阳,2719,614,广州-沈阳3天2晚 | 入住沈阳韩洋酒店 + 南方航空/深圳航空往返机票,沈阳韩洋酒店 3.8分/5分,标准双床房(预付促销) 双床 不含早 1间2晚,南方航空 CZ6384,直飞,08:05-11:45,深圳航空 ZH9652,经停,08:20-13:05,3.8,无,3
2540,武汉,沈阳,1703,424,武汉-沈阳3天2晚 | 入住沈阳茂业华美达广场酒店 + 东方航空往返机票,沈阳茂业华美达广场酒店 4.5分/5分,高级双床房(空气清新房... 双床 不含早 1间2晚,东方航空 MU2545,经停,07:55-11:55,东方航空 MU2546,经停,12:50-17:25,4.5,无,3
2541,天津,西宁,1374,390,天津-西宁3天2晚 | 入住星程酒店西宁大十字店 + 中国国航往返机票,星程酒店西宁大十字店 舒适型 4.3分/5分,双床房(连住14晚及以... 双床 不含早 1间2晚,中国国航 CA1241,直飞,15:25-17:55,中国国航 CA8280,经停,18:15-22:05,4.3,舒适型,3
2542,沈阳,武汉,1391,434,沈阳-武汉3天2晚 | 入住武汉悦邦大酒店 + 南方航空往返机票,武汉悦邦大酒店 舒适型 3.9分/5分,商务标间(双床) 双床 不含早 1间2晚,南方航空 CZ6762,直飞,16:45-19:35,南方航空 CZ6304,直飞,23:05-01:45,3.9,舒适型,3
2543,成都,杭州,1678,480,成都-杭州3天2晚 | 入住杭州花雯庭精品酒店 + 长龙航空/厦门航空往返机票,杭州花雯庭精品酒店 舒适型 3.3分/5分,舒适标准间(不含早（预... 双床 不含早 1间2晚,长龙航空 GJ8680,经停,20:25-00:50,厦门航空 MF8423,直飞,08:10-11:05,3.3,舒适型,3
2544,杭州,哈尔滨,1693,496,杭州-哈尔滨3天2晚 | 入住哈尔滨维景假日酒店 + 海南航空/长龙航空往返机票,哈尔滨维景假日酒店 高档型 4.2分/5分,主题大床房[无早] 大床 不含早 1间2晚,海南航空 HU7094,经停,07:05-11:45,长龙航空 GJ8758,经停,12:25-17:10,4.2,高档型,3
2545,天津,重庆,1402,402,天津-重庆3天2晚 | 入住重庆嘉乐花园酒店江北机场店 + 华夏航空往返机票,重庆嘉乐花园酒店江北机场店 舒适型 4.0分/5分,特惠标间(双床) 双床 不含早 1间2晚,华夏航空 G52656,经停,17:25-22:10,华夏航空 G52785,经停,07:25-11:10,4,舒适型,3
2546,广州,北京,1965,542,广州-北京3天2晚 | 入住北京空港世纪商务酒店首都机场店 + 联合航空往返机票,北京空港世纪商务酒店首都机场店 舒适型 4.1分/5分,特惠大床间 大床 不含早 1间2晚,联合航空 KN5896,直飞,14:10-17:20,联合航空 KN5897,直飞,12:35-15:45,4.1,舒适型,3
2547,北京,乌鲁木齐,2267,614,北京-乌鲁木齐3天2晚 | 入住乌鲁木齐新科福建大酒店 + 四川航空/中国国航往...,乌鲁木齐新科福建大酒店 舒适型 3.8分/5分,特惠大床房-不含早 大床 不含早 1间2晚,四川航空 3U8209,经停,07:55-14:00,中国国航 CA1292,直飞,21:10-00:45,3.8,舒适型,3
2548,济南,西安,1007,322,济南-西安3天2晚 | 入住西安悦诚商务酒店西稍门机场大巴店 + 华夏航空往返机票,西安悦诚商务酒店西稍门机场大巴店 舒适型 4.3分/5分,舒适大床房(丝路之旅) 大床 不含早 1间2晚,华夏航空 G54963,直飞,07:10-08:55,华夏航空 G58858,直飞,23:10-00:55,4.3,舒适型,3
2549,武汉,承德,2064,604,武汉-承德3天2晚 | 入住承德嘉华商务酒店 + 东方航空往返机票,承德嘉华商务酒店 高档型 4.1分/5分,普通标间(内宾)(双床) 双床 双早 1间2晚,东方航空 MU2455,直飞,18:00-19:55,东方航空 MU2454,直飞,22:35-00:55,4.1,高档型,3
2550,成都,武汉,1453,416,成都-武汉3天2晚 | 入住锦江之星品尚酒店武汉光谷大道灵杰路传媒学院店 + 南...,锦江之星品尚酒店武汉光谷大道灵杰路传媒... 舒适型 4.5分/5分,精选标准房A 其他 不含早 1间2晚,南方航空 CZ3442,直飞,22:05-00:05,东方航空 MU2653,直飞,20:40-22:40,4.5,舒适型,3
2551,哈尔滨,北海,2207,656,哈尔滨-北海3天2晚 | 入住北海鼎元国际酒店 + 春秋航空往返机票,北海鼎元国际酒店 高档型 4.4分/5分,高级大床房（无窗）(限... 大床 不含早 1间2晚,春秋航空 9C8741,直飞,17:10-21:50,春秋航空 9C8742,直飞,10:20-15:05,4.4,高档型,3
2552,广州,西宁,3706,976,广州-西宁3天2晚 | 入住西宁福茵长乐国际大酒店 + 南方航空往返机票,西宁福茵长乐国际大酒店 4.4分/5分,高级标间[含早](双床) 双床 双早 1间2晚,南方航空 CZ3249,直飞,06:30-10:10,南方航空 CZ3130,经停,13:55-18:40,4.4,无,3
2553,重庆,天津,1286,350,重庆-天津3天2晚 | 入住宜必思酒店天津海河店 + 华夏航空往返机票,宜必思酒店天津海河店 舒适型 4.2分/5分,双床房(预付特惠) 双床 不含早 1间2晚,华夏航空 G52655,经停,19:55-23:45,华夏航空 G52656,经停,17:25-22:10,4.2,舒适型,3
2554,北京,大理,3469,974,北京-大理3天2晚 | 入住大理文华酒店 + 深圳航空/中国国航往返机票,大理文华酒店 舒适型 4.2分/5分,商务标间(双床) 双床 双早 1间2晚,深圳航空 ZH1419,直飞,06:25-10:30,中国国航 CA1420,直飞,11:20-14:45,4.2,舒适型,3
2555,武汉,哈尔滨,2551,604,武汉-哈尔滨3天2晚 | 入住哈尔滨豪滨假日酒店果戈里印度风情街秋林店 + 南方...,哈尔滨豪滨假日酒店果戈里印度风情街秋林店 舒适型 4.5分/5分,经典大床房[无早] 大床 不含早 1间2晚,南方航空 CZ3631,经停,07:45-12:50,南方航空 CZ6263,经停,08:55-14:00,4.5,舒适型,3
2556,济南,九寨沟,1962,400,济南-九寨沟3天2晚 | 入住九寨沟风景名胜区管理局贵宾楼饭店 + 中国国航/成...,九寨沟风景名胜区管理局贵宾楼饭店 舒适型 4.1分/5分,标间(限量抢购)(双床) 双床 双早 1间2晚,中国国航 CA4528,直飞,21:00-23:30,成都航空 EU2719,直飞,06:55-09:25,4.1,舒适型,3
2557,成都,北海,2476,618,成都-北海3天2晚 | 入住北海国发大酒店 + 成都航空往返机票,北海国发大酒店 4.2分/5分,主楼泰式标准间（无窗）... 双床 双早 1间2晚,成都航空 EU2715,直飞,06:25-08:50,成都航空 EU2716,直飞,16:00-18:05,4.2,无,3
2558,济南,西安,1016,338,济南-西安3天2晚 | 入住布丁酒店西安钟鼓楼东大街中心店 + 华夏航空往返机票,布丁酒店西安钟鼓楼东大街中心店 经济型 3.9分/5分,大床房A-特惠预付 大床 不含早 1间2晚,华夏航空 G54963,直飞,07:10-08:55,华夏航空 G58858,直飞,23:10-00:55,3.9,经济型,3
2559,济南,九寨沟,1759,402,济南-九寨沟3天2晚 | 入住黑水县达古冰山国际大酒店 + 中国国航/成都航空往...,黑水县达古冰山国际大酒店 豪华型 3.9分/5分,A区豪华标间(双床) 双床 不含早 1间2晚,中国国航 CA4528,直飞,21:00-23:30,成都航空 EU2719,直飞,06:55-09:25,3.9,豪华型,3
2560,沈阳,重庆,1702,492,沈阳-重庆3天2晚 | 入住怡家丽景酒店重庆垫江店 + 四川航空/中国国航往返机票,怡家丽景酒店重庆垫江店 舒适型 4.3分/5分,法式房(内宾)(无窗)... 大床 不含早 1间2晚,四川航空 3U8850,经停,19:05-23:50,中国国航 CA4163,经停,07:45-12:45,4.3,舒适型,3
2561,重庆,北海,1806,484,重庆-北海3天2晚 | 入住北海中玉酒店 + 成都航空往返机票,北海中玉酒店 3.7分/5分,豪华标间(双床) 双床 不含早 1间2晚,成都航空 EU2718,直飞,13:20-15:10,成都航空 EU2717,直飞,10:40-12:20,3.7,无,3
2562,武汉,大理,1886,512,武汉-大理3天2晚 | 入住大理考拉假日青年旅舍 + 东方航空往返机票,大理考拉假日青年旅舍 经济型 4.4分/5分,一楼简约大床房-预付 大床 不含早 1间2晚,东方航空 MU9736,直飞,14:35-17:20,东方航空 MU9735,直飞,11:05-13:30,4.4,经济型,3
2563,天津,西宁,1395,394,天津-西宁3天2晚 | 入住西宁青海穆斯林大厦 + 中国国航往返机票,西宁青海穆斯林大厦 3.8分/5分,标准间(双人入住)(内... 其他 不含早 1间2晚,中国国航 CA1241,直飞,15:25-17:55,中国国航 CA8280,经停,18:15-22:05,3.8,无,3
2564,天津,哈尔滨,1183,350,天津-哈尔滨3天2晚 | 入住哈尔滨滑雪场竞技中心住宿 + 奥凯航空/福州往返机票,哈尔滨滑雪场竞技中心住宿 舒适型 2.9分/5分,竞技标准大床房-含早（... 大床 双早 1间2晚,奥凯航空 BK2918,直飞,21:10-23:25,福州 FU6556,直飞,11:35-13:45,2.9,舒适型,3
2565,济南,昆明,1485,396,济南-昆明3天2晚 | 入住昆明恒兴酒店 + 昆明航空/东方航空往返机票,昆明恒兴酒店 高档型 4.1分/5分,标准双人间(特惠)[双... 其他 双早 1间2晚,昆明航空 KY8276,直飞,19:05-22:20,东方航空 MU5328,经停,16:20-21:25,4.1,高档型,3
2566,青岛,深圳,1697,496,青岛-深圳3天2晚 | 入住深圳华悦大酒店 + 南方航空/深圳航空往返机票,深圳华悦大酒店 舒适型 3.2分/5分,双人房(内宾)(双床) 双床 不含早 1间2晚,南方航空 CZ3964,直飞,21:25-00:35,深圳航空 ZH9913,直飞,14:10-17:15,3.2,舒适型,3
2567,上海,长沙,1128,342,上海-长沙3天2晚 | 入住长沙无限风光假日酒店 + 南方航空/吉祥航空往返机票,长沙无限风光假日酒店 舒适型 3.9分/5分,标准双人间(携手游江湖... 双床 不含早 1间2晚,南方航空 CZ3970,直飞,21:20-23:20,吉祥航空 HO1072,直飞,21:25-23:20,3.9,舒适型,3
2568,沈阳,杭州,1516,420,沈阳-杭州3天2晚 | 入住杭州石塘瑞莱克斯大酒店 + 长龙航空/春秋航空往返机票,杭州石塘瑞莱克斯大酒店 舒适型 4.2分/5分,普通标间（无窗）(双床) 双床 不含早 1间2晚,长龙航空 GJ8866,直飞,20:55-23:40,春秋航空 9C8919,直飞,09:05-11:40,4.2,舒适型,3
2569,南京,张家界,1187,316,南京-张家界3天2晚 | 入住张家界蓝天大酒店 + 四川航空/吉祥航空往返机票,张家界蓝天大酒店 3.7分/5分,豪华标准间(双床) 双床 双早 1间2晚,四川航空 3U8763,直飞,17:20-18:55,吉祥航空 HO1658,直飞,15:40-17:15,3.7,无,3
2570,广州,天津,1551,420,广州-天津3天2晚 | 入住天津巨川商务酒店 + 奥凯航空/海南航空往返机票,天津巨川商务酒店 舒适型 4.3分/5分,迷你商务间(特惠促销)... 大床 不含早 1间2晚,奥凯航空 BK2787,直飞,06:55-10:00,海南航空 HU7201,直飞,20:15-23:25,4.3,舒适型,3
2571,深圳,武汉,1675,490,深圳-武汉3天2晚 | 入住武汉铂莱华大酒店 + 南方航空/东方航空往返机票,武汉铂莱华大酒店 舒适型 4.1分/5分,高级标间(携手游江湖)... 双床 不含早 1间2晚,南方航空 CZ6304,直飞,20:15-22:05,东方航空 MU2477,直飞,08:00-09:45,4.1,舒适型,3
2572,天津,哈尔滨,1145,354,天津-哈尔滨3天2晚 | 入住哈尔滨龙门大厦火车站店 + 奥凯航空/福州往返机票,哈尔滨龙门大厦火车站店 4.2分/5分,商旅标准间(预付)(双... 双床 双早 1间2晚,奥凯航空 BK2918,直飞,21:10-23:25,福州 FU6556,直飞,11:35-13:45,4.2,无,3
2573,宁波,重庆,1763,406,宁波-重庆3天2晚 | 入住重庆薇斯顿风情酒店 + 南方航空/四川航空往返机票,重庆薇斯顿风情酒店 高档型 4.5分/5分,薇薇情怀奢享大床房(今... 大床 不含早 1间2晚,南方航空 CZ8116,直飞,17:15-19:40,四川航空 3U8983,直飞,06:55-09:35,4.5,高档型,3
2574,南京,蜈支洲岛,2197,550,南京-蜈支洲岛3天2晚 | 入住三亚半山半岛度假酒店-全套房 + 首都航空往返机票,三亚半山半岛度假酒店-全套房 豪华型 4.5分/5分,高级海景双卧套房(开放... 其他 双早 1间2晚,首都航空 JD5126,直飞,11:05-14:10,首都航空 JD5125,直飞,06:20-09:30,4.5,豪华型,3
2575,天津,北海,1991,526,天津-北海3天2晚 | 入住开元·曼居酒店北海店 + 四川航空往返机票,开元·曼居酒店北海店 舒适型 4.6分/5分,豪华大床房(双人入住) 大床 不含早 1间2晚,四川航空 3U8353,经停,08:55-13:05,四川航空 3U8354,经停,14:25-19:15,4.6,舒适型,3
2576,北京,西安,1168,392,北京-西安3天2晚 | 入住西安秦皇客栈 + 东方航空/海南航空往返机票,西安秦皇客栈 经济型 4.5分/5分,大床房 大床 不含早 1间2晚,东方航空 MU2120,直飞,21:15-23:25,海南航空 HU7738,直飞,23:05-00:55,4.5,经济型,3
2577,哈尔滨,南京,1185,325,哈尔滨-南京3天2晚 | 入住南京YMCA酒店徐庄软件园店 + 吉祥航空/厦门航...,南京YMCA酒店徐庄软件园店 舒适型 4.5分/5分,标准大床房 其他 不含早 1间2晚,吉祥航空 HO1651,直飞,17:10-20:00,厦门航空 MF8067,直飞,19:40-22:25,4.5,舒适型,3
2578,大连,哈尔滨,1322,390,大连-哈尔滨3天2晚 | 入住星程酒店哈尔滨会展中心店 + 东方航空往返机票,星程酒店哈尔滨会展中心店 舒适型 4.3分/5分,双床房A 双床 不含早 1间2晚,东方航空 MU5611,直飞,17:15-18:50,东方航空 MU5612,直飞,19:35-21:15,4.3,舒适型,3
2579,杭州,长沙,1267,350,杭州-长沙3天2晚 | 入住长沙君逸山水大酒店 + 成都航空/厦门航空往返机票,长沙君逸山水大酒店 4.3分/5分,丽景大床房[无早] 大床 不含早 1间2晚,成都航空 EU2206,直飞,20:30-22:15,厦门航空 MF8454,直飞,22:20-23:55,4.3,无,3
2580,沈阳,长沙,1833,498,沈阳-长沙3天2晚 | 入住宁乡梦港湾大酒店 + 海南航空/四川航空往返机票,宁乡梦港湾大酒店 高档型 3.7分/5分,温馨情侣间-双早 其他 双早 1间2晚,海南航空 HU7330,经停,19:10-23:40,四川航空 3U8929,直飞,11:00-13:55,3.7,高档型,3
2581,广州,呼和浩特,2260,538,广州-呼和浩特3天2晚 | 入住呼和浩特内蒙古饭店朵兰酒店 + 南方航空/深圳航...,呼和浩特内蒙古饭店朵兰酒店 舒适型 4.5分/5分,标准房[无早](双床) 双床 不含早 1间2晚,南方航空 CZ3197,直飞,06:20-09:40,深圳航空 ZH9148,直飞,20:10-23:15,4.5,舒适型,3
2582,上海,沈阳,1489,394,上海-沈阳3天2晚 | 入住沈阳丽阳国际饭店 + 深圳航空/春秋航空往返机票,沈阳丽阳国际饭店 高档型 3.8分/5分,普通标准间(限时特惠)... 双床 双早 1间2晚,深圳航空 ZH9722,直飞,21:10-23:40,春秋航空 9C8850,直飞,16:15-18:30,3.8,高档型,3
2583,上海,乌鲁木齐,3206,690,上海-乌鲁木齐3天2晚 | 入住乌鲁木齐玥舍精品酒店 + 吉祥航空/春秋航空往返...,乌鲁木齐玥舍精品酒店 舒适型 4.2分/5分,玥舍精品大床房(内宾) 大床 双早 1间2晚,吉祥航空 HO1255,直飞,10:25-15:50,春秋航空 9C8846,经停,16:10-22:50,4.2,舒适型,3
2584,西安,桂林,927,326,西安-桂林3天2晚 | 入住Q居桂林就在旁边精品客栈两江四湖店 + 中国国航/天...,Q居桂林就在旁边精品客栈两江四湖店 经济型 4.7分/5分,特惠大床房-【Q居特惠】 大床 不含早 1间2晚,中国国航 CA1225,直飞,18:40-20:50,天津航空 GS7676,直飞,21:35-23:20,4.7,经济型,3
2585,广州,沈阳,2784,620,广州-沈阳3天2晚 | 入住沈阳珀丽酒店 + 南方航空/深圳航空往返机票,沈阳珀丽酒店 4.3分/5分,高级双床房(特别促销)... 双床 不含早 1间2晚,南方航空 CZ6384,直飞,08:05-11:45,深圳航空 ZH9652,经停,08:20-13:05,4.3,无,3
2586,天津,西安,884,324,天津-西安3天2晚 | 入住布丁酒店西安钟楼北大街地铁站店 + 奥凯航空/天津航...,布丁酒店西安钟楼北大街地铁站店 经济型 4.3分/5分,大床房C-不含早-踏春... 大床 不含早 1间2晚,奥凯航空 BK2884,直飞,22:30-00:40,天津航空 GS7876,直飞,23:10-01:00,4.3,经济型,3
2587,沈阳,西安,1482,442,沈阳-西安3天2晚 | 入住西安弘冠酒店 + 长安航空有限责任公司/南方航空往返...,西安弘冠酒店 舒适型 3.6分/5分,大床房(无窗)-不含早... 大床 不含早 1间2晚,长安航空有限责任公司 9H8340,经停,20:05-00:15,南方航空 CZ6416,直飞,23:15-01:55,3.6,舒适型,3
2588,北京,大连,1195,324,北京-大连3天2晚 | 入住大连十洲云水大酒店 + 南方航空/海南航空往返机票,大连十洲云水大酒店 舒适型 4.4分/5分,大床房 大床 不含早 1间2晚,南方航空 CZ6140,直飞,22:20-23:50,海南航空 HU7184,直飞,22:35-23:55,4.4,舒适型,3
2589,天津,杭州,1294,370,天津-杭州3天2晚 | 入住千岛湖松城饭店 + 奥凯航空/天津航空往返机票,千岛湖松城饭店 4.2分/5分,标准房(预付)(双床) 双床 双早 1间2晚,奥凯航空 BK2825,直飞,06:50-08:50,天津航空 GS7852,直飞,20:50-23:05,4.2,无,3
2590,沈阳,重庆,1763,508,沈阳-重庆3天2晚 | 入住重庆帝州大酒店 + 四川航空/中国国航往返机票,重庆帝州大酒店 舒适型 4.0分/5分,浪漫情侣间（无窗）(大... 大床 双早 1间2晚,四川航空 3U8850,经停,19:05-23:50,中国国航 CA4163,经停,07:45-12:45,4,舒适型,3
2591,南京,哈尔滨,1144,352,南京-哈尔滨3天2晚 | 入住哈尔滨龙运宾馆 + 厦门航空/吉祥航空往返机票,哈尔滨龙运宾馆 3.7分/5分,标准间(特惠)(双床) 双床 不含早 1间2晚,厦门航空 MF8067,直飞,19:40-22:25,吉祥航空 HO1651,直飞,17:10-20:00,3.7,无,3
2592,深圳,丽江,2032,588,深圳-丽江3天2晚 | 入住丽江和玺酒店 + 东方航空/南方航空往返机票,丽江和玺酒店 4.2分/5分,标准间[双早](双床) 双床 双早 1间2晚,东方航空 MU5758,经停,17:20-22:00,南方航空 CZ8548,直飞,12:25-14:45,4.2,无,3
2593,广州,神农架,1179,352,广州-神农架3天2晚 | 入住神农架萧六生态旅游农庄 + 东方航空/南方航空往返...,神农架萧六生态旅游农庄 经济型 0.0分/5分,景观家庭房-不含早（预... 大/双床 不含早 1间2晚,东方航空 MU2541,直飞,19:25-21:20,南方航空 CZ646,直飞,07:50-09:35,0,经济型,3
2594,成都,桂林,1413,388,成都-桂林3天2晚 | 入住恭城信合大酒店 + 中国国航/山东航空往返机票,恭城信合大酒店 舒适型 4.4分/5分,经济标间(双床) 双床 不含早 1间2晚,中国国航 CA4323,直飞,07:35-09:15,山东航空 SC4763,直飞,08:35-10:15,4.4,舒适型,3
2595,厦门,桂林,965,352,厦门-桂林3天2晚 | 入住桂林饭店 + 山东航空往返机票,桂林饭店 舒适型 3.6分/5分,标准房-无早优惠(双床) 双床 不含早 1间2晚,山东航空 SC4771,直飞,19:05-20:45,山东航空 SC4772,直飞,21:50-23:35,3.6,舒适型,3
2596,武汉,西双版纳,3375,766,武汉-西双版纳3天2晚 | 入住西双版纳树城大酒店 + 华夏航空往返机票,西双版纳树城大酒店 舒适型 5.0分/5分,东南亚风情特惠大床房-... 大床 双早 1间2晚,华夏航空 G55069,经停,14:20-19:10,华夏航空 G55070,经停,20:10-00:30,5,舒适型,3
2597,青岛,重庆,1547,426,青岛-重庆3天2晚 | 入住重庆摩围山欣宜度假村 + 山东航空/华夏航空往返机票,重庆摩围山欣宜度假村 高档型 4.2分/5分,野鹅房(大床) 大床 不含早 1间2晚,山东航空 SC4709,经停,19:30-00:05,华夏航空 G54710,经停,18:00-22:25,4.2,高档型,3
2598,重庆,哈尔滨,1982,550,重庆-哈尔滨3天2晚 | 入住哈尔滨鑫祥麟宾馆 + 南方航空往返机票,哈尔滨鑫祥麟宾馆 舒适型 4.1分/5分,经济房（无独立卫浴) 大/双床 不含早 1间2晚,南方航空 CZ8143,经停,11:50-17:20,南方航空 CZ8144,经停,18:15-00:15,4.1,舒适型,3
2599,哈尔滨,大连,1436,404,哈尔滨-大连3天2晚 | 入住大连宾馆 + 东方航空往返机票,大连宾馆 4.2分/5分,标准双人间 双床 双床 不含早 1间2晚,东方航空 MU5612,直飞,19:35-21:15,东方航空 MU5611,直飞,17:15-18:50,4.2,无,3
2600,南京,青岛,1283,333,南京-青岛3天2晚 | 入住青岛国敦大酒店 + 青岛航/首都航空往返机票,青岛国敦大酒店 4.2分/5分,高级双床客房(内宾) 其他 不含早 1间2晚,青岛航 QW9860,直飞,22:55-00:10,首都航空 JD5298,直飞,10:40-12:00,4.2,无,3
2601,成都,武汉,1510,410,成都-武汉3天2晚 | 入住武汉云鼎商务酒店 + 南方航空/东方航空往返机票,武汉云鼎商务酒店 舒适型 3.6分/5分,普通大床间(预付) 大床 双早 1间2晚,南方航空 CZ3442,直飞,22:05-00:05,东方航空 MU2653,直飞,20:40-22:40,3.6,舒适型,3
2602,广州,天津,1503,420,广州-天津3天2晚 | 入住天津善苑假日酒店 + 奥凯航空/海南航空往返机票,天津善苑假日酒店 舒适型 4.2分/5分,迷你房-不含早（预付） 大床 不含早 1间2晚,奥凯航空 BK2787,直飞,06:55-10:00,海南航空 HU7201,直飞,20:15-23:25,4.2,舒适型,3
2603,青岛,长沙,1746,454,青岛-长沙3天2晚 | 入住长沙华日商务酒店 + 青岛航/幸福航空往返机票,长沙华日商务酒店 舒适型 4.2分/5分,商务双人间(双床) 双床 不含早 1间2晚,青岛航 QW9775,直飞,06:20-08:40,幸福航空 JR2769,直飞,06:40-09:05,4.2,舒适型,3
2604,上海,武汉,1028,330,上海-武汉3天2晚 | 入住武汉如家公寓光谷华光大厦店 + 东方航空/南方航空往...,武汉如家公寓光谷华光大厦店 经济型 4.1分/5分,情侣大床房 大床 不含早 1间2晚,东方航空 MU2512,直飞,20:00-21:55,南方航空 CZ6171,直飞,22:40-00:15,4.1,经济型,3
2605,厦门,北京,1289,354,厦门-北京3天2晚 | 入住北京泊悦假日酒店 + 联合航空/山东航空往返机票,北京泊悦假日酒店 舒适型 4.7分/5分,豪华大床房 大床 双早 1间2晚,联合航空 KN5926,直飞,11:25-14:10,山东航空 SC1152,经停,19:20-23:25,4.7,舒适型,3
2606,广州,呼和浩特,2205,540,广州-呼和浩特3天2晚 | 入住呼和浩特大兴安岭酒店 + 南方航空/深圳航空往返...,呼和浩特大兴安岭酒店 舒适型 4.5分/5分,标准房(双床) 双床 双早 1间2晚,南方航空 CZ3197,直飞,06:20-09:40,深圳航空 ZH9148,直飞,20:10-23:15,4.5,舒适型,3
2607,宁波,神农架,1746,378,宁波-神农架3天2晚 | 入住神农架康帝君兰酒店 + 南方航空往返机票,神农架康帝君兰酒店 豪华型 4.6分/5分,高级双人房(双床) 双床 双早 1间2晚,南方航空 CZ3441,直飞,16:10-17:50,南方航空 CZ3448,直飞,13:55-15:20,4.6,豪华型,3
2608,天津,青岛,855,334,天津-青岛3天2晚 | 入住青岛新城国际假日酒店 + 青岛航/山东航空往返机票,青岛新城国际假日酒店 舒适型 4.9分/5分,特惠标准间(双床) 双床 不含早 1间2晚,青岛航 QW9854,直飞,20:50-22:05,山东航空 SC4717,直飞,07:00-08:20,4.9,舒适型,3
2609,天津,重庆,1412,406,天津-重庆3天2晚 | 入住重庆万州宾馆 + 华夏航空往返机票,重庆万州宾馆 舒适型 3.9分/5分,特惠房(双床) 双床 不含早 1间2晚,华夏航空 G52656,经停,17:25-22:10,华夏航空 G52785,经停,07:25-11:10,3.9,舒适型,3
2610,成都,沈阳,2149,560,成都-沈阳3天2晚 | 入住沈阳北辰大酒店 + 南方航空/成都航空往返机票,沈阳北辰大酒店 高档型 4.6分/5分,标准大床房(特惠) 大床 不含早 1间2晚,南方航空 CZ6439,经停,10:20-15:30,成都航空 EU2766,经停,20:10-01:55,4.6,高档型,3
2611,上海,张家界,2094,530,上海-张家界3天2晚 | 入住久栖·张家界缘溪度假酒店 + 东方航空往返机票,久栖·张家界缘溪度假酒店 舒适型 0.0分/5分,标准山景房-含双早（预... 双床 双早 1间2晚,东方航空 MU5375,直飞,19:45-22:15,东方航空 MU5376,直飞,23:00-00:55,0,舒适型,3
2612,上海,西安,1259,388,上海-西安3天2晚 | 入住西安方欣如春商务酒店 + 东方航空/南方航空往返机票,西安方欣如春商务酒店 3.6分/5分,豪华标准间(双床) 双床 不含早 1间2晚,东方航空 MU2160,直飞,15:30-18:15,南方航空 CZ3336,直飞,11:05-13:25,3.6,无,3
2613,北京,乌鲁木齐,2779,684,北京-乌鲁木齐3天2晚 | 入住乌鲁木齐锦江国际酒店 + 四川航空/中国国航往返...,乌鲁木齐锦江国际酒店 豪华型 4.7分/5分,高级双床房[单早] 双床 单早 1间2晚,四川航空 3U8209,经停,07:55-14:00,中国国航 CA1292,直飞,21:10-00:45,4.7,豪华型,3
